Width,GL,FC coef,Attenuation Distance (m),max dH/dt(m/a)
5000,0,30000,30987.8947022638,4.99785654803881
5000,400,30000,32815.4255986121,10.3523723526377
5000,0,60000,25321.2429155328,5.45023924177784
5000,400,60000,28199.5847732238,11.9774009217527
5000,0,120000,19832.0449774279,6.20217938659163
5000,400,120000,22736.5408111279,15.9202143411676
8000,0,30000,30640.1812625995,4.12088913936813
8000,400,30000,33632.1591924981,10.4482424783981
8000,0,60000,24510.5289444472,4.50182043498349
8000,400,60000,28881.5072343694,10.0530570463494
8000,0,120000,19270.5006836904,5.295376202186
8000,400,120000,23824.0202104046,12.5482133885737
11000,0,30000,30397.2206784028,3.73418422043693
11000,400,30000,33829.0188579463,10.5330873633613
11000,0,60000,23798.8729992313,3.98876684611845
11000,400,60000,29011.299568245,8.42843538292464
11000,0,120000,18680.8599794649,4.72431794155444
11000,400,120000,24358.0917645719,9.38376424822313
