vel,h,tau_b
3469.52630632951,302.842701587608,27197.842712578
2167.95249177105,544.592624311397,17508.0227210757
1683.5994165488,340.205906475177,49470.5750307862
1086.57605568587,554.919925603771,33051.384863543
865.497235389868,401.707632934604,94224.4822360057
652.949251500589,554.497383543707,73540.259584301
3305.57130473965,279.003185667566,22772.0677062699
2184.32963502497,503.32097903411,15340.1269948015
1417.97004628005,302.750873453696,38481.9330588419
942.341359540823,496.058550067589,26119.4596879865
688.760362732214,355.571264235814,73349.5055883187
520.789026790329,476.326523812009,56673.2811674571
3130.99314800185,264.58628696605,21246.3059165483
2179.67570032378,460.559818224736,14997.1755650516
1227.93233919375,280.873483575175,33085.136701609
866.917470804941,436.645290260893,23666.8937278388
574.982099509964,326.375144116393,61290.119214068
484.642834748994,398.090671260959,52472.4831250985
