width_eff,gl_depth,float_length
3500,-142.986103766458,0
3500,-474.008311775861,4716.62910982877
3500,-142.708393266104,0
3500,-487.164327820497,3984.63787626536
3500,-139.767701034111,0
3500,-488.363546754782,4158.65862656993
5600,-157.483960142415,0
5600,-458.003367687845,8445.70874336828
5600,-158.684875981196,0
5600,-464.328602137186,7878.02632696726
5600,-156.382341403087,0
5600,-467.330698762235,7748.92780597572
7700,-162.691231933896,0
7700,-425.54913521831,11543.1861323261
7700,-164.319770018198,0
7700,-426.878625685501,11421.4950042121
7700,-162.447605116482,0
7700,-428.990474056495,11255.9699285902
