geometry,runtime(min),step
domain_W5000_GL-200_FC20,127.646926516667,3
domain_W8000_GL-200_FC20,356.7476107,3
domain_W11000_GL-200_FC20,835.77002235,3
domain_W5000_GL0_FC20,944.825173783333,3
domain_W8000_GL0_FC20,1163.8175692,3
domain_W11000_GL0_FC20,1451.01106321667,3
domain_W5000_GL200_FC20,1529.54631651667,3
domain_W8000_GL200_FC20,1594.9800622,3
domain_W11000_GL200_FC20,1719.5291682,3
domain_W5000_GL-200_FC40,1768.74234481667,3
domain_W8000_GL-200_FC40,1913.41888521667,3
domain_W11000_GL-200_FC40,2151.0325293,3
domain_W5000_GL0_FC40,2212.80623476667,3
domain_W8000_GL0_FC40,2298.81629341667,3
domain_W11000_GL0_FC40,2340.43238623333,3
domain_W5000_GL200_FC40,2361.66600508333,3
domain_W8000_GL200_FC40,2379.404835,3
domain_W11000_GL200_FC40,2428.08816795,3
domain_W5000_GL-200_FC80,2473.73217065,3
domain_W8000_GL-200_FC80,2559.2710336,3
domain_W11000_GL-200_FC80,2657.43507976667,3
domain_W5000_GL0_FC80,2710.28238915,3
domain_W8000_GL0_FC80,2786.01133571667,3
domain_W11000_GL0_FC80,2812.9884731,3
domain_W5000_GL200_FC80,2865.7642652,3
domain_W8000_GL200_FC80,2881.50860411667,3
domain_W11000_GL200_FC80,3001.2088414,3
